"Location","Expt_No","Depth","Time_Range","Population","Sample_Type","Replicate","VP","VP_SE","VP_R_Squared","VP_Type","VP_Slope"
"NJ2020","5","1","T0_T24","c_V1","VP","1",NA,155648.616137444,0.111637437239365,"LM_SR",110353.233824034
"NJ2020","5","1","T0_T3","c_V1","VP","2",NA,NA,1,"LM_SR",534663.102719303
"NJ2020","5","1","T0_T6","c_V1","VP","2",NA,192630.228414329,0.521297518808403,"LM_SR",201017.760032082
"NJ2020","5","1","T0_T9","c_V1","VP","2",NA,216391.54322189,0.178813423938397,"LM_SR",-142802.043054473
"NJ2020","5","1","T0_T12","c_V1","VP","2",NA,220430.504821499,0.168305069687024,"LM_SR",171750.849778564
"NJ2020","5","1","T0_T24","c_V1","VP","2",NA,108880.28142409,0.00198921694944714,"LM_SR",-9721.93446243844
"NJ2020","5","1","T0_T3","c_V1","VP","3",NA,NA,1,"LM_SR",-180480.403209331
"NJ2020","5","1","T0_T6","c_V1","VP","3",NA,201680.372725194,0.87343026561324,"LM_SR",-529801.055658803
"NJ2020","5","1","T0_T9","c_V1","VP","3",NA,221898.726305868,0.244749678767212,"LM_SR",-178642.757219257
"NJ2020","5","1","T0_T12","c_V1","VP","3",NA,161592.33647209,0.000829370772901993,"LM_SR",-8063.72895563638
"NJ2020","5","1","T0_T24","c_V1","VP","3",NA,70732.3249655845,0.0371230846532029,"LM_SR",27776.9508063155
"NJ2020","6","1","T0_T3","c_V1","VP","1",NA,NA,1,"LM_SR",233133.240920501
"NJ2020","6","1","T0_T6","c_V1","VP","1",NA,626769.83473623,0.649104005736854,"LM_SR",-852463.957494201
"NJ2020","6","1","T0_T9","c_V1","VP","1",NA,554502.422065544,0.821298951418127,"LM_SR",-1681146.37723562
"NJ2020","6","1","T0_T12","c_V1","VP","1",NA,642048.405488633,0.293748203250694,"LM_SR",-717193.303224786
"NJ2020","6","1","T0_T24","c_V1","VP","1",NA,334573.736622879,0.011569307928851,"LM_SR",-72393.9746543184
"NJ2020","6","1","T0_T3","c_V1","VP","2",NA,NA,1,"LM_SR",289948.572054901
"NJ2020","6","1","T0_T6","c_V1","VP","2",NA,275333.900828166,0.315538059884418,"LM_SR",-186943.733225618
"NJ2020","6","1","T0_T9","c_V1","VP","2",NA,123857.577664551,0.589980598764321,"LM_SR",-210113.637576694
"NJ2020","6","1","T0_T12","c_V1","VP","2",NA,71630.0345159866,0.727879044579649,"LM_SR",-202910.444579557
"NJ2020","6","1","T0_T24","c_V1","VP","2",NA,43914.5845718722,0.540305212981013,"LM_SR",-95218.988526961
"NJ2020","6","1","T0_T3","c_V1","VP","3",NA,NA,1,"LM_SR",-882847.065754832
"NJ2020","6","1","T0_T6","c_V1","VP","3",NA,509550.561874201,3.01099964065088e-07,"LM_SR",-279.603563450581
"NJ2020","6","1","T0_T9","c_V1","VP","3",NA,315439.500151339,0.418008721082382,"LM_SR",-378064.158175457
"NJ2020","6","1","T0_T12","c_V1","VP","3",NA,183407.564942311,0.534607311604695,"LM_SR",-340475.245202653
"NJ2020","6","1","T0_T24","c_V1","VP","3",NA,90013.4169577233,0.536539211453312,"LM_SR",-193700.828790235
"NJ2020","7","1","T0_T3","c_V1","VP","1",NA,NA,1,"LM_SR",367571.614490267
"NJ2020","7","1","T0_T6","c_V1","VP","1",NA,60752.9229586926,0.949101698096245,"LM_SR",262344.465217493
"NJ2020","7","1","T0_T9","c_V1","VP","1",NA,223297.34169056,0.129025949542678,"LM_SR",-121544.265835395
